STATE,NUM_PARTICIPANTS,FAMILY_INCOME_SM_AVG,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CLUSTER
AC,34927.0,1.2353638897376964,487.5798923468949,491.2125318521488,487.8900163197527,480.0250637042976,487.7870988060813,486.8989206058351,0
AL,81371.0,1.216829968526018,492.3764498408524,498.0119035037053,491.9541273918227,492.6280554497301,512.0679357510661,497.40769438743513,0
AM,89847.0,1.2568040070892048,490.5073870023484,494.8683940476589,491.5969336761383,483.8595033779648,487.34982804100304,489.63640922902266,0
AP,31951.0,1.27764485818133,488.0409846327189,498.6491972082251,489.7421864730369,479.3692654377015,498.0288566868017,490.7660980876968,0
BA,311348.0,1.2493657449343876,501.7315582563562,510.3949407094312,500.2214014543212,497.6017671544381,522.980973059085,506.5861281267264,1
CE,251295.0,1.1650726678987304,502.0960174297141,512.1011285540898,502.6448596271316,513.6072580035416,527.5520802244374,511.6002687677829,1
DF,83359.0,2.046759315169025,523.4261951318994,535.983490684869,527.1940306385634,527.9308329034657,549.544980146115,532.8159059009824,2
ES,91032.0,1.8238460351960104,521.5754679673081,533.0123022673346,518.1159702082784,534.1432902715528,541.2470340100184,529.6188129448985,2
GO,142502.0,1.82323479428736,514.4750235084422,521.9071107773926,512.2184425481748,519.401122791259,538.9814879791161,521.3966375208769,1
MA,193733.0,1.1354911621716126,489.915229207208,493.76014618056814,486.8387615945659,483.6390361993052,491.06192543345736,489.0430197230208,0
MG,478859.0,1.9022442233620325,524.6731271626929,537.2748226513442,523.4423082786374,541.137095261862,552.1943620147058,535.7443430738484,2
MS,54406.0,1.7663114214505526,511.2756993713929,516.7539425798626,509.6411259787523,513.5191743557697,516.3548138073006,513.5089512186157,1
MT,75346.0,1.8515952896656331,504.6256748865234,510.0890929843655,499.1517067926632,502.88530778010784,498.3290420194834,503.0161648926286,1
PA,237859.0,1.2452383111659804,495.9624664191811,503.593337649616,491.6033725862801,486.3694289474016,511.249858109216,497.755692742339,0
PB,133710.0,1.2814628865128297,501.1985348889387,509.2548739810037,500.9573562186823,505.7596185775184,521.9608107097449,507.8262388751777,1
PE,250163.0,1.2838948985639735,500.7368547706895,509.0726430367401,503.7906385036956,509.5000059960905,515.6530741956244,507.750643300568,1
PI,106334.0,1.1767570231252276,495.7692939229222,500.4870323697029,490.570406455132,496.3950157052307,513.3176594504109,499.30788158067975,0
PR,189621.0,2.32643099701521,524.430497676945,538.013316563039,525.6290906597899,535.7844500345425,532.9510971886025,531.3616904245838,2
RJ,290914.0,1.982730770983861,521.2414868311596,538.8462841252054,528.2595079645531,539.6335277779688,555.851626253807,536.7664865905388,2
RN,109610.0,1.413295609685801,506.8551199708056,513.034526959219,505.1839968980932,510.2126649028373,520.5619925189308,511.1696602499772,1
RO,50883.0,1.6271241698554024,498.1931509541496,504.2852563724623,495.3627989701865,494.28670479334943,490.80242910205766,496.5860680384411,0
RR,11718.0,1.5205253547241773,500.8574842123229,505.5051971326165,495.65755248335887,492.4926608636285,485.46168288103775,495.994915514593,0
RS,195441.0,2.1928184301021862,520.7141546553692,535.5257555988765,527.828362012065,536.3557083723476,544.4947580088109,532.9837477294939,2
SC,86449.0,2.540491498811649,529.1855521752709,541.3559879235156,528.023749262571,545.7872294647711,544.224224687388,537.7153487027033,2
SE,64812.0,1.278127904649187,502.212016293279,509.02237857186935,498.4825726717273,501.77823859779056,532.0005554526939,508.69915231747217,1
SP,729109.0,2.2521362105569063,522.1120104127092,538.7979732797154,530.6332725285245,540.2014096657701,540.9431511612119,534.5375634095863,2
TO,45306.0,1.515708435914077,494.84047146073374,499.6182073014612,491.0824703129829,493.0339182448242,502.7064847923013,496.25631042246056,0
